,Unnamed: 0,path,x,y,w,h,image_id
0,0,HAM10000_images_part_1/ISIC_0026784.jpg,159,142,274,217,ISIC_0026784
1,1,HAM10000_images_part_1/ISIC_0028971.jpg,172,91,256,254,ISIC_0028971
2,2,HAM10000_images_part_1/ISIC_0026948.jpg,51,149,361,287,ISIC_0026948
3,3,HAM10000_images_part_1/ISIC_0026790.jpg,72,0,401,405,ISIC_0026790
4,4,HAM10000_images_part_1/ISIC_0028965.jpg,242,399,103,101,ISIC_0028965
5,5,HAM10000_images_part_1/ISIC_0025299.jpg,250,217,249,187,ISIC_0025299
6,6,HAM10000_images_part_1/ISIC_0024839.jpg,145,69,332,292,ISIC_0024839
7,7,HAM10000_images_part_1/ISIC_0024811.jpg,94,53,457,329,ISIC_0024811
8,8,HAM10000_images_part_1/ISIC_0026960.jpg,50,69,428,402,ISIC_0026960
9,9,HAM10000_images_part_1/ISIC_0028795.jpg,0,241,192,169,ISIC_0028795
10,10,HAM10000_images_part_1/ISIC_0026974.jpg,118,66,420,352,ISIC_0026974
11,11,HAM10000_images_part_1/ISIC_0028781.jpg,0,231,573,269,ISIC_0028781
12,12,HAM10000_images_part_1/ISIC_0028959.jpg,131,188,519,312,ISIC_0028959
13,13,HAM10000_images_part_1/ISIC_0024805.jpg,234,83,277,320,ISIC_0024805
14,14,HAM10000_images_part_1/ISIC_0025528.jpg,440,0,158,143,ISIC_0025528
15,15,HAM10000_images_part_1/ISIC_0024636.jpg,0,0,353,449,ISIC_0024636
16,16,HAM10000_images_part_1/ISIC_0026021.jpg,227,72,297,387,ISIC_0026021
17,17,HAM10000_images_part_1/ISIC_0026747.jpg,138,100,355,304,ISIC_0026747
18,18,HAM10000_images_part_1/ISIC_0027459.jpg,133,0,340,449,ISIC_0027459
19,19,HAM10000_images_part_1/ISIC_0026753.jpg,187,156,267,190,ISIC_0026753
20,20,HAM10000_images_part_1/ISIC_0028018.jpg,28,0,560,449,ISIC_0028018
21,21,HAM10000_images_part_1/ISIC_0026035.jpg,84,0,362,449,ISIC_0026035
22,22,HAM10000_images_part_1/ISIC_0024622.jpg,140,42,334,335,ISIC_0024622
23,23,HAM10000_images_part_1/ISIC_0028030.jpg,213,122,265,266,ISIC_0028030
24,24,HAM10000_images_part_1/ISIC_0027303.jpg,67,10,464,434,ISIC_0027303
